Subject,"Start Date","All Day Event",Description,Private
"Міжнародний день секретаря",2022-03-20,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-sekretarya'  >Дивитись на сайті Smeshinki</a>",0
"День таксиста",2022-03-22,1,"<a href='https://smeshinki.net/holiday/den-taksista'  >Дивитись на сайті Smeshinki</a>",0
"День красивого погляду (День фахівця по роботі з бровами і віями)",2022-03-23,1,"<a href='https://smeshinki.net/holiday/den-krasivogo-poglyadu-den-fahivcya-po-roboti-z-brovami-i-viyami'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день метеоролога",2022-03-23,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-meteorologa'  >Дивитись на сайті Smeshinki</a>",0
"День майстра манікюру",2022-03-24,1,"<a href='https://smeshinki.net/holiday/den-maystra-manikyuru'  >Дивитись на сайті Smeshinki</a>",0
"День фтизіатра",2022-03-24,1,"<a href='https://smeshinki.net/holiday/den-ftiziatra'  >Дивитись на сайті Smeshinki</a>",0
"День Національної гвардії України",2022-03-26,1,"<a href='https://smeshinki.net/holiday/den-nacionalnoji-gvardiji-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"День нефролога",2022-03-27,1,"<a href='https://smeshinki.net/holiday/den-nefrologa'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день історика",2022-03-28,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-istorika'  >Дивитись на сайті Smeshinki</a>",0
"День фокусника (День диму і дзеркал)",2022-03-29,1,"<a href='https://smeshinki.net/holiday/den-fokusnika-den-dimu-i-dzerkal'  >Дивитись на сайті Smeshinki</a>",0
"День флориста України",2022-03-31,1,"<a href='https://smeshinki.net/holiday/den-florista-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"День математика",2022-04-02,1,"<a href='https://smeshinki.net/holiday/den-matematika'  >Дивитись на сайті Smeshinki</a>",0
"День геолога",2022-04-03,1,"<a href='https://smeshinki.net/holiday/den-geologa'  >Дивитись на сайті Smeshinki</a>",0
"День веб-майстра",2022-04-04,1,"<a href='https://smeshinki.net/holiday/den-veb-maystra'  >Дивитись на сайті Smeshinki</a>",0
"День неонатолога",2022-04-05,1,"<a href='https://smeshinki.net/holiday/den-neonatologa'  >Дивитись на сайті Smeshinki</a>",0
"День працівників військових комісаріатів",2022-04-08,1,"<a href='https://smeshinki.net/holiday/den-pracivnikiv-viyskovih-komisariativ'  >Дивитись на сайті Smeshinki</a>",0
"День працівників ракетно-космічної галузі України",2022-04-12,1,"<a href='https://smeshinki.net/holiday/den-pracivnikiv-raketno-kosmichnoji-galuzi-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день воротаря",2022-04-14,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-vorotarya'  >Дивитись на сайті Smeshinki</a>",0
"День працівників кримінального розшуку",2022-04-15,1,"<a href='https://smeshinki.net/holiday/den-pracivnikiv-kriminalnogo-rozshuku'  >Дивитись на сайті Smeshinki</a>",0
"День пожежної охорони України",2022-04-17,1,"<a href='https://smeshinki.net/holiday/den-pozhezhnoji-ohoroni-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день радіоаматора",2022-04-18,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-radioamatora'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день жонглерів",2022-04-18,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-zhongleriv'  >Дивитись на сайті Smeshinki</a>",0
"День водія шкільного автобусу",2022-04-23,1,"<a href='https://smeshinki.net/holiday/den-vodiya-shkilnogo-avtobusu'  >Дивитись на сайті Smeshinki</a>",0
"Всеукраїнський день психолога",2022-04-23,1,"<a href='https://smeshinki.net/holiday/vseukrajinskiy-den-psihologa'  >Дивитись на сайті Smeshinki</a>",0
"День перукаря в квітні",2022-04-25,1,"<a href='https://smeshinki.net/holiday/den-perukarya-v-kvitni'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день пілотів",2022-04-26,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-pilotiv'  >Дивитись на сайті Smeshinki</a>",0
"День кадровика в Україні",2022-04-27,1,"<a href='https://smeshinki.net/holiday/den-kadrovika-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день графічного дизайну",2022-04-27,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-grafichnogo-dizaynu'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день дівчат в інформаційно-комунікаційних технологіях",2022-04-28,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-divchat-v-informaciyno-komunikaciynih-tehnologiyah'  >Дивитись на сайті Smeshinki</a>",0
"День зачіски (День вдячності перукарям)",2022-04-30,1,"<a href='https://smeshinki.net/holiday/den-zachiski-den-vdyachnosti-perukaryam'  >Дивитись на сайті Smeshinki</a>",0
"День прикордонника",2022-04-30,1,"<a href='https://smeshinki.net/holiday/den-prikordonnika'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день ветеринара",2022-04-30,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-veterinara'  >Дивитись на сайті Smeshinki</a>",0
"День філолога",2022-05-25,1,"<a href='https://smeshinki.net/holiday/den-filologa'  >Дивитись на сайті Smeshinki</a>",0
"Всеукраїнський день краєзнавства",2022-05-28,1,"<a href='https://smeshinki.net/holiday/vseukrajinskiy-den-krayeznavstva'  >Дивитись на сайті Smeshinki</a>",0
"День працівників видавництв, поліграфії і книгорозповсюдження в Україні",2022-05-28,1,"<a href='https://smeshinki.net/holiday/den-pracivnikiv-vidavnictv-poligrafiji-i-knigorozpovsyudzhennya-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день інтер’єру і День дизайнера інтер’єрів",2022-05-28,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-inter-yeru-i-den-dizaynera-inter-yeriv'  >Дивитись на сайті Smeshinki</a>",0
"День хіміка",2022-05-29,1,"<a href='https://smeshinki.net/holiday/den-himika'  >Дивитись на сайті Smeshinki</a>",0
"День слідства в Україні",2022-07-01,1,"<a href='https://smeshinki.net/holiday/den-slidstva-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"День працівника державної податкової служби України",2022-07-02,1,"<a href='https://smeshinki.net/holiday/den-pracivnika-derzhavnoji-podatkovoji-sluzhbi-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день спортивного журналіста",2022-07-02,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-sportivnogo-zhurnalista'  >Дивитись на сайті Smeshinki</a>",0
"День Військово-Морських Сил Збройних Сил України",2022-07-03,1,"<a href='https://smeshinki.net/holiday/den-viyskovo-morskih-sil-zbroynih-sil-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"День працівників морського та річкового флоту",2022-07-03,1,"<a href='https://smeshinki.net/holiday/den-pracivnikiv-morskogo-ta-richkovogo-flotu'  >Дивитись на сайті Smeshinki</a>",0
"День зенітних ракетних військ Повітряних Сил України",2022-07-03,1,"<a href='https://smeshinki.net/holiday/den-zenitnih-raketnih-viysk-povitryanih-sil-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"День судового експерта України",2022-07-04,1,"<a href='https://smeshinki.net/holiday/den-sudovogo-eksperta-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"День Національної поліції України",2022-07-04,1,"<a href='https://smeshinki.net/holiday/den-nacionalnoji-policiji-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день кардіолога",2022-07-06,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-kardiologa'  >Дивитись на сайті Smeshinki</a>",0
"День працівника природно-заповідної справи",2022-07-07,1,"<a href='https://smeshinki.net/holiday/den-pracivnika-prirodno-zapovidnoji-spravi'  >Дивитись на сайті Smeshinki</a>",0
"День рибалки в Україні",2022-07-10,1,"<a href='https://smeshinki.net/holiday/den-ribalki-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день бортпровідника",2022-07-12,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-bortprovidnika'  >Дивитись на сайті Smeshinki</a>",0
"День бухгалтера і аудитора України",2022-07-16,1,"<a href='https://smeshinki.net/holiday/den-buhgaltera-i-auditora-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"День металурга",2022-07-17,1,"<a href='https://smeshinki.net/holiday/den-metalurga'  >Дивитись на сайті Smeshinki</a>",0
"День етнографа (України)",2022-07-17,1,"<a href='https://smeshinki.net/holiday/den-etnografa-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
