Subject,"Start Date","All Day Event",Description,Private
"День пам’яті сорока Севастійських мучеників",2022-03-22,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-soroka-sevastiyskih-muchenikiv'  >Дивитись на сайті Smeshinki</a>",0
"Батьківська поминальна субота 3-ї седмиці Великого посту",2022-03-26,1,"<a href='https://smeshinki.net/holiday/batkivska-pominalna-subota-3-ji-sedmici-velikogo-postu'  >Дивитись на сайті Smeshinki</a>",0
"Четверта седмиця Великого посту",2022-03-28,1,"<a href='https://smeshinki.net/holiday/chetverta-sedmicya-velikogo-postu'  >Дивитись на сайті Smeshinki</a>",0
"Олександрів день",2022-03-28,1,"<a href='https://smeshinki.net/holiday/oleksandriv-den'  >Дивитись на сайті Smeshinki</a>",0
"Савин день",2022-03-29,1,"<a href='https://smeshinki.net/holiday/savin-den'  >Дивитись на сайті Smeshinki</a>",0
"Теплого Олекси",2022-03-30,1,"<a href='https://smeshinki.net/holiday/teplogo-oleksi'  >Дивитись на сайті Smeshinki</a>",0
"П’ята седмиця Великого посту",2022-04-04,1,"<a href='https://smeshinki.net/holiday/p-yata-sedmicya-velikogo-postu'  >Дивитись на сайті Smeshinki</a>",0
"День Василя Теплого",2022-04-04,1,"<a href='https://smeshinki.net/holiday/den-vasilya-teplogo'  >Дивитись на сайті Smeshinki</a>",0
Благовіщення,2022-04-07,1,"<a href='https://smeshinki.net/holiday/blagovishchennya'  >Дивитись на сайті Smeshinki</a>",0
"Шоста седмиця Великого посту",2022-04-11,1,"<a href='https://smeshinki.net/holiday/shosta-sedmicya-velikogo-postu'  >Дивитись на сайті Smeshinki</a>",0
"Католицький Великдень",2022-04-17,1,"<a href='https://smeshinki.net/holiday/katolickiy-velikden'  >Дивитись на сайті Smeshinki</a>",0
"Вербна неділя",2022-04-17,1,"<a href='https://smeshinki.net/holiday/verbna-nedilya'  >Дивитись на сайті Smeshinki</a>",0
"Страсна седмиця Великого посту",2022-04-18,1,"<a href='https://smeshinki.net/holiday/strasna-sedmicya-velikogo-postu'  >Дивитись на сайті Smeshinki</a>",0
"Чистий четвер",2022-04-21,1,"<a href='https://smeshinki.net/holiday/chistiy-chetver'  >Дивитись на сайті Smeshinki</a>",0
"Страсна п’ятниця",2022-04-22,1,"<a href='https://smeshinki.net/holiday/strasna-p-yatnicya'  >Дивитись на сайті Smeshinki</a>",0
"Закінчення Великого посту",2022-04-23,1,"<a href='https://smeshinki.net/holiday/zakinchennya-velikogo-postu'  >Дивитись на сайті Smeshinki</a>",0
Великдень,2022-04-24,1,"<a href='https://smeshinki.net/holiday/velikden'  >Дивитись на сайті Smeshinki</a>",0
"Світлий понеділок",2022-04-25,1,"<a href='https://smeshinki.net/holiday/svitliy-ponedilok'  >Дивитись на сайті Smeshinki</a>",0
"Поливаний понеділок",2022-04-25,1,"<a href='https://smeshinki.net/holiday/polivaniy-ponedilok'  >Дивитись на сайті Smeshinki</a>",0
"Світлий вівторок",2022-04-26,1,"<a href='https://smeshinki.net/holiday/svitliy-vivtorok'  >Дивитись на сайті Smeshinki</a>",0
"Світла середа",2022-04-27,1,"<a href='https://smeshinki.net/holiday/svitla-sereda'  >Дивитись на сайті Smeshinki</a>",0
"Світлий четвер",2022-04-28,1,"<a href='https://smeshinki.net/holiday/svitliy-chetver'  >Дивитись на сайті Smeshinki</a>",0
"Світла п’ятниця",2022-04-29,1,"<a href='https://smeshinki.net/holiday/svitla-p-yatnicya'  >Дивитись на сайті Smeshinki</a>",0
"День святих Кирила та Мефодія",2022-05-24,1,"<a href='https://smeshinki.net/holiday/den-svyatih-kirila-ta-mefodiya'  >Дивитись на сайті Smeshinki</a>",0
"Вознесіння Господнє у західних християн",2022-05-26,1,"<a href='https://smeshinki.net/holiday/voznesinnya-gospodnye-u-zahidnih-hristiyan'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті мучеників Леонтія, Іпатія та Феодула",2022-07-01,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-muchenikiv-leontiya-ipatiya-ta-feodula'  >Дивитись на сайті Smeshinki</a>",0
"Свято набуття мощей преподобного Максима Грека",2022-07-04,1,"<a href='https://smeshinki.net/holiday/svyato-nabuttya-moshchey-prepodobnogo-maksima-greka'  >Дивитись на сайті Smeshinki</a>",0
"Різдво Івана Предтечі, Хрестителя Господнього",2022-07-07,1,"<a href='https://smeshinki.net/holiday/rizdvo-ivana-predtechi-hrestitelya-gospodnogo'  >Дивитись на сайті Smeshinki</a>",0
"Свято Святих Петра і Павла",2022-07-12,1,"<a href='https://smeshinki.net/holiday/svyato-svyatih-petra-i-pavla'  >Дивитись на сайті Smeshinki</a>",0
"Собор дванадцяти апостолів",2022-07-13,1,"<a href='https://smeshinki.net/holiday/sobor-dvanadcyati-apostoliv'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті святих чудотворців Косми і Даміанa",2022-07-14,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-svyatih-chudotvorciv-kosmi-i-damiana'  >Дивитись на сайті Smeshinki</a>",0
"Покладення Ризи Пресвятої Богородиці у Влахерні",2022-07-15,1,"<a href='https://smeshinki.net/holiday/pokladennya-rizi-presvyatoji-bogorodici-u-vlaherni'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті монаха-відлюдника Сисоя Великого",2022-07-19,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-monaha-vidlyudnika-sisoya-velikogo'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті священномученика Єрмія",2022-07-19,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-svyashchennomuchenika-yermiya'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті преподобного Антонія Києво-Печерського",2022-07-23,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-prepodobnogo-antoniya-kiyevo-pecherskogo'  >Дивитись на сайті Smeshinki</a>",0
"Святої рівноапостольної княгині Ольги",2022-07-24,1,"<a href='https://smeshinki.net/holiday/svyatoji-rivnoapostolnoji-knyagini-olgi'  >Дивитись на сайті Smeshinki</a>",0
"Собор Архангела Гавриїла",2022-07-26,1,"<a href='https://smeshinki.net/holiday/sobor-arhangela-gavrijila'  >Дивитись на сайті Smeshinki</a>",0
"Память преподобного Онисима чудотворця",2022-07-27,1,"<a href='https://smeshinki.net/holiday/pamyat-prepodobnogo-onisima-chudotvorcya'  >Дивитись на сайті Smeshinki</a>",0
"Пам’ять святого Акили",2022-07-27,1,"<a href='https://smeshinki.net/holiday/pam-yat-svyatogo-akili'  >Дивитись на сайті Smeshinki</a>",0
"Рівноапостольного князя Володимира",2022-07-28,1,"<a href='https://smeshinki.net/holiday/rivnoapostolnogo-knyazya-volodimira'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті преподобного Іоанна Печерського, Багатостраждального",2022-07-31,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-prepodobnogo-ioanna-pecherskogo-bagatostrazhdalnogo'  >Дивитись на сайті Smeshinki</a>",0
"День набуття мощей преподобного Серафима Саровського",2022-08-01,1,"<a href='https://smeshinki.net/holiday/den-nabuttya-moshchey-prepodobnogo-serafima-sarovskogo'  >Дивитись на сайті Smeshinki</a>",0
"День пророка Іллі",2022-08-02,1,"<a href='https://smeshinki.net/holiday/den-proroka-illi'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті святого пророка Єзекіїля",2022-08-03,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-svyatogo-proroka-yezekijilya'  >Дивитись на сайті Smeshinki</a>",0
"Святої мироносиці Марії Магдалини",2022-08-04,1,"<a href='https://smeshinki.net/holiday/svyatoji-mironosici-mariji-magdalini'  >Дивитись на сайті Smeshinki</a>",0
"Святих Бориса і Гліба",2022-08-06,1,"<a href='https://smeshinki.net/holiday/svyatih-borisa-i-gliba'  >Дивитись на сайті Smeshinki</a>",0
"Католицьке Преображення Господнє",2022-08-06,1,"<a href='https://smeshinki.net/holiday/katolicke-preobrazhennya-gospodnye'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті преподобного Полікарпа, архімандрита Печерського",2022-08-06,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-prepodobnogo-polikarpa-arhimandrita-pecherskogo'  >Дивитись на сайті Smeshinki</a>",0
"Успіння праведної Анни, матері Богородиці",2022-08-07,1,"<a href='https://smeshinki.net/holiday/uspinnya-pravednoji-anni-materi-bogorodici'  >Дивитись на сайті Smeshinki</a>",0
"День святого великомученика й цілителя Пантелеймона",2022-08-09,1,"<a href='https://smeshinki.net/holiday/den-svyatogo-velikomuchenika-y-cilitelya-panteleymona'  >Дивитись на сайті Smeshinki</a>",0
"Різдво Миколи Чудотворця",2022-08-11,1,"<a href='https://smeshinki.net/holiday/rizdvo-mikoli-chudotvorcya'  >Дивитись на сайті Smeshinki</a>",0
"Святої мучениці Серафими",2022-08-11,1,"<a href='https://smeshinki.net/holiday/svyatoji-muchenici-serafimi'  >Дивитись на сайті Smeshinki</a>",0
